t dt Rul5P PEP P2f Rib5P P2NADP NADPf NADH P2NADPH P1NADPH NAD Mgf Xul5P Phi MgATP Pyr MgAMP AMPf Gri2P Gri23P2f Sed7P ATPf Gri13P2 Lac GraP GlcA6P Glc6P E4P GSH DHAP Fru16P2 MgADP GSSG NADPHf Fru6P P1NADP Gri3P MgGri23P2 P1f Glcin ADPf
0.0435537 1.28e-06 0.0055842 0.0106604 0.00619507 0.0164667 0.0147559 2.35218e-05 0.000154202 0.0230491 0.0433524 0.0653458 0.565936 0.0150717 1.00624 1.46116 0.0839844 0.00217512 0.0633089 0.00783255 1.91287 0.0179697 0.18591 0.000467703 1.68025 0.00576578 0.025719 0.0474372 0.00587203 3.1126 0.14188 0.00856005 0.131479 0.000898357 0.000749797 0.0184753 6.93958e-05 0.0599079 0.649245 0.000578253 4.56929 0.175963
0.0446245 6.4e-07 0.00558826 0.0106641 0.00620329 0.0164845 0.0145613 2.3184e-05 0.000154251 0.0232355 0.0433575 0.0653457 0.566126 0.0150826 1.00612 1.46056 0.0839842 0.00218396 0.0635432 0.00784365 1.91272 0.0180074 0.185771 0.000467593 1.68025 0.00576802 0.0257401 0.0474194 0.00587931 3.11262 0.141935 0.00858078 0.131712 0.000891856 0.00075468 0.0184674 6.79388e-05 0.0600184 0.649416 0.000574577 4.56942 0.176227
0.0457438 6.4e-07 0.00559183 0.010668 0.00621162 0.0165011 0.0143628 2.28405e-05 0.000154317 0.0234256 0.0433626 0.0653457 0.56632 0.0150922 1.00598 1.45994 0.0839841 0.00219307 0.0637842 0.00785542 1.91257 0.0180442 0.185628 0.000467526 1.68025 0.00577079 0.0257618 0.047395 0.0058874 3.11263 0.142004 0.0086034 0.131951 0.000885202 0.000759655 0.018457 6.6476e-05 0.0601356 0.649592 0.00057088 4.56956 0.176499
0.0468875 1.28e-06 0.00559479 0.0106718 0.00621986 0.0165159 0.014165 2.24994e-05 0.0001544 0.0236151 0.0433677 0.0653456 0.566515 0.0151002 1.00584 1.45933 0.0839839 0.00220221 0.064026 0.00786758 1.91242 0.0180792 0.185486 0.000467506 1.68025 0.00577405 0.0257835 0.0473644 0.00589611 3.11264 0.142085 0.0086274 0.13219 0.000878564 0.000764606 0.0184441 6.50419e-05 0.0602571 0.649768 0.000567247 4.56969 0.176771
0.0480075 1.28e-06 0.00559704 0.0106755 0.00622768 0.0165284 0.0139762 2.21748e-05 0.000154492 0.0237961 0.0433725 0.0653455 0.566702 0.0151062 1.0057 1.45873 0.0839838 0.00221101 0.0642584 0.00787959 1.91228 0.0181108 0.185348 0.000467528 1.68025 0.00577765 0.0258043 0.047329 0.00590506 3.11266 0.142175 0.00865171 0.132419 0.00087223 0.000769329 0.0184294 6.36935e-05 0.0603773 0.649937 0.000563824 4.56983 0.177032
0.0491275 1.28e-06 0.00559867 0.0106791 0.00623526 0.0165389 0.0137921 2.18592e-05 0.000154595 0.0239726 0.0433771 0.0653454 0.566885 0.0151105 1.00556 1.45815 0.0839837 0.00221965 0.0644862 0.00789169 1.91214 0.01814 0.185214 0.000467589 1.68025 0.00578161 0.0258247 0.0472886 0.00591438 3.11267 0.142274 0.00867673 0.132643 0.000866064 0.000773931 0.0184128 6.23977e-05 0.0604986 0.650103 0.000560529 4.56996 0.177287
0.0502232 1.28e-06 0.00559966 0.0106825 0.00624245 0.0165474 0.0136164 2.15588e-05 0.000154569 0.0241412 0.0433814 0.0653454 0.56706 0.0151132 1.00541 1.45759 0.0839836 0.00222793 0.0647046 0.00790359 1.91201 0.0181661 0.185086 0.000467553 1.68025 0.00578594 0.0258442 0.0472446 0.00592381 3.11268 0.142379 0.0087018 0.132857 0.000860198 0.000778319 0.0183948 6.11784e-05 0.0606181 0.650262 0.000557423 4.57009 0.177532
0.0513086 2.56e-06 0.00560008 0.0106857 0.00624937 0.016554 0.0134465 2.12692e-05 0.000154648 0.0243041 0.0433855 0.0653454 0.56723 0.0151143 1.00527 1.45705 0.0839836 0.00223598 0.0649164 0.00791542 1.91188 0.0181896 0.184962 0.000467644 1.68026 0.00579044 0.0258631 0.0471969 0.00593345 3.11269 0.142491 0.00872716 0.133064 0.000854552 0.000782557 0.0183754 6.00155e-05 0.060737 0.650417 0.000554455 4.57022 0.177769
0.0524024 1.28e-06 0.00559996 0.010689 0.00625614 0.0165589 0.0132795 2.09851e-05 0.000154713 0.0244644 0.0433895 0.0653453 0.567398 0.0151139 1.00512 1.45652 0.0839835 0.00224391 0.0651252 0.00792736 1.91176 0.018211 0.18484 0.000467745 1.68026 0.00579527 0.0258818 0.047145 0.00594341 3.1127 0.14261 0.00875315 0.133268 0.000849029 0.000786722 0.0183544 5.88866e-05 0.0608572 0.650569 0.000551569 4.57034 0.178002
0.0534904 1.28e-06 0.00559931 0.0106921 0.00626267 0.0165621 0.0131173 2.07101e-05 0.000154749 0.02462 0.0433934 0.0653453 0.56756 0.0151121 1.00498 1.45601 0.0839835 0.00225164 0.0653282 0.00793924 1.91164 0.0182301 0.184721 0.000467841 1.68026 0.00580037 0.0258999 0.0470898 0.00595355 3.11271 0.142736 0.00877939 0.133465 0.0008437 0.000790761 0.0183321 5.78046e-05 0.060977 0.650717 0.000548799 4.57047 0.178228
