Rho Pvalue Target
0.28868778280543 0.0403016819706436 vbpgsp6-vtk2-vbpgsp4
0.331764705882353 0.0178029238819949 vtk3-vatpase-vak
0.302443438914027 0.0314025344806851 vtk5-vru5pe-vald
0.210859728506787 0.137230119058332 vbpgsp4-vbpgsp2-vtk6
0.219366515837104 0.121800385357028 vpk-vmgb23pg-voxnadh
0.193846153846154 0.17243568089808 vtk3-vhbmgatp-vbpgsp9
0.271674208144796 0.054096896762929 vpk-vbpgsp9-vpfk
0.249230769230769 0.0779344093442928 vbpgsp4-vtk6
0.196923076923077 0.165623487463333 vbpgsp7-vbpgsp1-vbpgsp6
0.219366515837104 0.121800385357028 vhbmgatp-vgpi-vbpgsp1
0.27420814479638 0.0518269726000215 voxnadh-vbpgsp4-vlactransport
0.22579185520362 0.111052013320281 vbpgsp8-vtpi-vbpgsp3
0.272488687782805 0.0533586120383819 vbpgsp5-vak-vbpgsp4
0.227420814479638 0.108446876072368 vtk1
0.259095022624434 0.0665931304456311 vhk-vpyrtransport-vtk3
0.206696832579186 0.1452972250577 vbpgsp1-vpglhydrolysis-vbpgsp6
0.301266968325792 0.0320929838946833 vru5pe-vgapdh-vtk4
0.329773755656109 0.0185316347361444 vbpgsp7-vru5pe-vbpgsp3
0.33710407239819 0.0159684132052663 vatpase-vlactransport-vgapdh
0.386877828054299 0.00532108321465571 vtk4-vox-vatpase
0.279185520361991 0.0475945687576039 vmgatp-veno-vbpgsp7
0.284796380090498 0.0431678648206076 vpk-vbpgsp3-vhbb13pg
0.165701357466063 0.244423225252797 vbpgsp2-vmgadp-vhbb13pg
0.278733031674208 0.047967221393127 vtk1-vbpgsp2-vtk4
0.300542986425339 0.032524151947872 vtk6-vtk5-vald
0.319547511312217 0.0226885387914542 vtk3-vatpase-vbpgsp5
0.237556561085973 0.093283722265191 vhbmgatp-vhbb13pg-vpgm
0.174660633484163 0.219569753459178 vbpgsp2-vmgfru16p2-vmgatp
0.185701357466063 0.191451550455186 vpyrtransport-vbpgsp8-vtk3
0.237556561085973 0.093283722265191 vhbmgatp-vmgadp-vpgm
0.339638009049774 0.0151561205309434 vmgb23pg-vtk6-vlactransport
