Rho Pvalue Target
-0.335574229691877 0.049322936749502 v_5-v_27-v_18
0.470588235294118 0.00473828762925142 v_21-v_6-v_8-v_4
0.380672268907563 0.0247458411370866 v_29-v_7-v_4-v_3
-0.347899159663866 0.041191402809162 v_35-v_18-v_25-v_7
-0.0439775910364146 0.801500345421262 v_27-v_12-v_37-v_21
-0.135014005602241 0.437841490303237 v_18-v_23-v_17-v_10
-0.191036414565826 0.270500278193568 v_33-v_13-v_23-v_19
0.25546218487395 0.138327277283924 v_5-v_21-v_11-v_23
0.266666666666667 0.121411394931502 v_26-v_32-v_2-v_11
0.500840336134454 0.00246621064637633 v_6-v_10-v_30-v_9
-0.328291316526611 0.0547081616524815 v_28-v_19-v_23-v_35
-0.0988795518207283 0.570653917965313 v_16-v_24-v_27-v_23
0.00840336134453782 0.962215642027686 v_21-v_27-v_13
0.131932773109244 0.448449780014035 v_18-v_37-v_12-v_8
0.264985994397759 0.123844065077083 v_14-v_9-v_33-v_26
-0.442857142857143 0.00823811828047255 v_15-v_30-v_24-v_29
-0.178711484593838 0.303070035900052 v_14-v_19-v_26-v_37
-0.197198879551821 0.255118798437819 v_28-v_14-v_23-v_18
0.255182072829132 0.138771528161022 v_2-v_14-v_32-v_37
0.305602240896359 0.0745705262882505 v_20-v_29-v_9-v_28
-0.492997198879552 0.00293652378524205 v_21-v_33-v_37-v_30
-0.415406162464986 0.013695030272531 v_12-v_15-v_27-v_21
-0.114005602240896 0.512883504918228 v_30-v_18-v_16-v_10
0.195798319327731 0.258561908610133 v_2-v_16-v_23-v_24
0.268347338935574 0.119014954230453 v_16-v_8-v_32-v_27
0.105602240896359 0.544611690960585 v_18-v_9-v_5-v_22
0.273389355742297 0.112040086042379 v_14-v_21-v_11-v_20
-0.209243697478992 0.226778509790742 v_17-v_24-v_18-v_6
0.254341736694678 0.14011064218834 v_1-v_30-v_2-v_12
0.223809523809524 0.19550223568497 v_32-v_37-v_10-v_28
-0.188235294117647 0.277690599172565 v_29-v_27-v_23-v_35
0.271148459383754 0.115100604786364 v_32-v_23-v_6-v_4
0.293837535014006 0.0869006353667578 v_2-v_29-v_20
0.373669467787115 0.0276984342060579 v_7-v_29-v_13-v_14
-0.10672268907563 0.54032747354686 v_4-v_24-v_15-v_2
0.10140056022409 0.560821182313791 v_27-v_28-v_8-v_20
0.375910364145658 0.0267233522531397 v_4-v_10-v_21-v_27
-0.19187675070028 0.26836743609587 v_26-v_6-v_25-v_30
-0.0392156862745098 0.822694869655086 v_26-v_23-v_17-v_21
0.270868347338936 0.115487586166045 v_23-v_7-v_14-v_2
-0.11624649859944 0.504582756062574 v_24-v_1-v_25
0.259103641456583 0.132647852623876 v_7-v_8-v_24-v_14
-0.370868347338936 0.0289586533650298 v_17-v_18-v_5-v_15
0.0397759103641457 0.820194586776383 v_22-v_6-v_16-v_19
-0.215966386554622 0.211940585762176 v_37-v_33-v_24-v_27
-0.521288515406163 0.00153616037063586 v_21-v_15-v_35-v_23
0.251820728291317 0.144185525123739 v_24-v_4-v_37-v_14
0.154621848739496 0.373688672111279 v_3-v_1-v_25-v_35
-0.420448179271709 0.0125092460838412 v_35-v_6-v_19-v_30
0.259663865546219 0.131789791269625 v_13-v_29-v_32-v_7
0.43249299719888 0.0100250511305951 v_15-v_1-v_2-v_10
-0.320448179271709 0.061025952382213 v_3-v_19-v_23-v_27
0.346778711484594 0.0418821731453553 v_7-v_15-v_12-v_5
0.157142857142857 0.365869934561589 v_22-v_8-v_35-v_29
0.297198879551821 0.0832262286900579 v_8-v_15-v_6-v_3
-0.0935574229691877 0.591668267719617 v_23-v_1-v_7-v_15
0.270588235294118 0.115875553582351 v_12-v_4-v_17
-0.472829131652661 0.00452283374787432 v_13-v_30-v_21-v_19
-0.131372549019608 0.450393586784791 v_20-v_23-v_7-v_21
0.49187675070028 0.00300974101293976 v_10-v_20-v_24-v_9
-0.372268907563025 0.0283227292161013 v_35-v_22-v_18-v_2
-0.442857142857143 0.00823811828047255 v_20-v_24-v_2-v_18
-0.449579831932773 0.0072316742722085 v_18-v_21-v_13
0.243697478991597 0.15791188247279 v_7-v_1-v_17-v_23
-0.300560224089636 0.0796743254979643 v_7-v_30-v_22-v_24
-0.111484593837535 0.522303298601727 v_1-v_27-v_19-v_13
-0.00420168067226891 0.981422936764463 v_28-v_23-v_37-v_26
0.182633053221289 0.292445009153846 v_7-v_18-v_29-v_14
0.231372549019608 0.18052558348562 v_14-v_28-v_11-v_33
0.084873949579832 0.626670844744199 v_21-v_2-v_33-v_23
0.178151260504202 0.304607868712324 v_28-v_23-v_32-v_12
0.47843137254902 0.0040210574032225 v_9-v_20-v_13-v_14
0.255182072829132 0.138771528161022 v_32-v_26-v_9-v_29
-0.182633053221289 0.292445009153846 v_29-v_30-v_23-v_11
0.348459383753501 0.0408495206547378 v_14-v_7-v_20-v_29
0.228571428571429 0.185973465078668 v_17-v_4-v_37-v_35
0.267787114845938 0.119809760209567 v_25-v_1-v_13-v_14
0.28375350140056 0.0986844303617884 v_5-v_28-v_4
0.271428571428571 0.114714608071368 v_26-v_33-v_4-v_3
0.423809523809524 0.0117682633839126 v_21-v_2-v_13-v_4
0.240616246498599 0.163360646515291 v_23-v_1-v_35-v_13
0.177310924369748 0.306923979228453 v_32-v_13-v_24-v_26
0.00840336134453782 0.962215642027686 v_26-v_12-v_27-v_24
-0.328011204481793 0.0549243612012756 v_18-v_23-v_10-v_35
0.249299719887955 0.14834740907039 v_33-v_14-v_24-v_6
0.492436974789916 0.00297293527509854 v_21-v_12-v_9-v_4
-0.0470588235294118 0.787860072276199 v_7-v_18-v_6-v_27
-0.427170868347339 0.0110650415278031 v_15-v_14-v_22-v_18
0.291036414565826 0.0900580700026894 v_4-v_8-v_25-v_14
0.232773109243698 0.177844961235526 v_4-v_28-v_33-v_35
0.249299719887955 0.14834740907039 v_33-v_24-v_11-v_5
0.169187675070028 0.32989174671795 v_3-v_21-v_22-v_12
0.213725490196078 0.216809305451522 v_12-v_28-v_25-v_3
0.0103641456582633 0.953258828694754 v_18-v_16-v_12-v_25
-0.275350140056022 0.109413271169492 v_19-v_3-v_25-v_29
0.338095238095238 0.0475619199023552 v_7-v_26-v_16-v_14
-0.347899159663866 0.041191402809162 v_25-v_11-v_35-v_18
0.490196078431373 0.00312255968785799 v_35-v_9-v_12
-0.263305322128852 0.126313252893336 v_30-v_29-v_23-v_32
