ER;Metabolite;Rep;Tissue
0.069273059404895;C20:3 LPC;2;Brain
0.214453167406317;C20:4 CE;2;Brain
0.121952778068167;C20:4 LPC;2;Brain
0.205815322314311;C20:4 LPE;2;Brain
0.0123086656506192;C22:0 SM;2;Brain
0.0412495683256328;C22:1 SM;2;Brain
0.134580266092904;C22:6 LPC;2;Brain
0.121343637002521;C22:6 LPE;2;Brain
0.128881120299744;C24:0 SM;2;Brain
0.208105529863534;C24:1 SM;2;Brain
1.36576136666954;C3 carnitine;2;Brain
0.145484188460146;C3-DC carnitine;2;Brain
0.00308182101964943;C32:0 PC;2;Brain
0.0522331224766434;C32:1 PC;2;Brain
0.506627518842352;C32:2 PC;2;Brain
0.0655520726897573;C34:1 DAG;2;Brain
0.00204103129179182;C34:1 PC;2;Brain
0.168648253633879;C34:2 DAG;2;Brain
0.0251039072167248;C34:2 PC;2;Brain
0.187386086133489;C34:3 PC;2;Brain
0.733071994094087;C34:4 PC;2;Brain
0.230952923530755;C36:1 DAG;2;Brain
0.0425301894815983;C36:2 DAG;2;Brain
0.0181347698060311;C36:2 PC;2;Brain
0.427950711278537;C36:4 PC-A;2;Brain
0.0289403852305056;C36:4 PC-B;2;Brain
0.074776478039344;C38:2 PC;2;Brain
0.0155101041475832;C38:4 PC;2;Brain
0.072575973574111;C38:5 PC;2;Brain
0.0571822865084119;C38:6 PC;2;Brain
0.560370158042761;C4 carnitine;2;Brain
0.0587100598953472;C48:0 TAG;2;Brain
0.162378213919653;C48:1 TAG;2;Brain
0.334098671905925;C5 carnitine;2;Brain
0.0491881619320191;C50:0 TAG;2;Brain
0.114118670025065;C50:1 TAG;2;Brain
0.249302468745108;C50:2 TAG;2;Brain
0.132598305618104;C52:1 TAG;2;Brain
0.251483011184845;C52:2 TAG;2;Brain
0.365989420368398;C52:3 TAG;2;Brain
0.451947889175899;C52:4 TAG;2;Brain
0.110949422560584;C54:1 TAG;2;Brain
0.152505348874953;C54:10 TAG;2;Brain
0.210213660277459;C54:2 TAG;2;Brain
0.207996203108633;C54:3 TAG;2;Brain
0.445074553536928;C54:4 TAG;2;Brain
0.325712916471809;C54:5 TAG;2;Brain
0.548422544135464;C54:6 TAG;2;Brain
0.156342925791651;C54:8 TAG;2;Brain
0.0953815511010598;C56:4 TAG;2;Brain
0.0826540454049072;C56:6 TAG;2;Brain
0.104232272445907;C56:7 TAG;2;Brain
0.101128529044137;C56:8 TAG;2;Brain
0.128806266653567;C58:10 TAG;2;Brain
0.252215544598668;C58:6 TAG;2;Brain
0.0822401019647193;C58:8 TAG;2;Brain
0.124371844287256;C58:9 TAG;2;Brain
0.205924960203773;C6 carnitine;2;Brain
0.143939475887764;C60:12 TAG;2;Brain
0.175681356002072;CMP;2;Brain
0.0886082763306072;DHAP/glyceraldehyde 3P;2;Brain
0.197432854050617;GABA;2;Brain
0.238609629033119;GDP;2;Brain
0.451545285836061;GMP;2;Brain
0.420189436695936;IMP;2;Brain
1.14185734408763;N-carbamoyl-beta-alanine;2;Brain
0.441285606051151;N-monomethylarginine;2;Brain
0.55492739651099;NAD;2;Brain
0.686076616384961;NADP;2;Brain
1.07237047017228;UDP-galactose/UDP-glucose;2;Brain
0.257355601414897;UDP-glucuronate;2;Brain
0.395056240239501;UMP;2;Brain
0.150207956405226;aconitate;2;Brain
0.504168907564372;adenine;2;Brain
0.507039740536032;adenosine;2;Brain
0.114825518007164;adipate;2;Brain
0.114273877808066;alanine;2;Brain
0.529338068960008;allantoin;2;Brain
0.19069624326496;alpha-glycerophosphate;2;Brain
0.88127064391998;alpha-glycerophosphocholine;2;Brain
0.198948235078045;alpha-hydroxybutyrate;2;Brain
0.159786821524291;anthranilic acid;2;Brain
0.0561412700309103;arginine;2;Brain
